ENTITY_NAME*|*ENTITY_NUM*|*INITIAL_FILING_DATE*|*JURISDICTION*|*ENTITY_STATUS*|*STANDING_SOS*|*ENTITY_TYPE*|*FILING_TYPE*|*FOREIGN_NAME*|*STANDING_FTB*|*STANDING_VCFCF*|*STANDING_AGENT*|*SUSPENSION_DATE*|*LAST_SI_FILE_NUMBER*|*LAST_SI_FILE_DATE*|*PRINCIPAL_ADDRESS*|*PRINCIPAL_ADDRESS2*|*PRINCIPAL_CITY*|*PRINCIPAL_STATE*|*PRINCIPAL_COUNTRY*|*PRINCIPAL_POSTAL_CODE*|*MAILING_ADDRESS*|*MAILING_ADDRESS2*|*MAILING_ADDRESS3*|*MAILING_CITY*|*MAILING_STATE*|*MAILING_COUNTRY*|*MAILING_POSTAL_CODE*|*PRINCIPAL_ADDRESS_IN_CA*|*PRINCIPAL_ADDRESS2_IN_CA*|*PRINCIPAL_CITY_IN_CA*|*PRINCIPAL_STATE_IN_CA*|*PRINCIPAL_COUNTRY_IN_CA*|*PRINCIPAL_POSTAL_CODE_IN_CA*|*LLC_MANAGEMENT_STRUCTURE*|*TYPE_OF_BUSINESS
RAD CAR THEORY AUTOS, LLC*|*B20260328851*|*07/17/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*12698 TESUQUE RD*|**|*APPLE VALLEY*|*CA*|*United States*|*92308*|*12698 TESUQUE RD*|**|**|*APPLE VALLEY*|*CA*|*United States*|*92308*|**|**|**|**|**|**|*More Than One Manager*|*
Radiant Gardens Inc.*|*B20260323509*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261457620*|*Jul 16 2026  7:32AM*|*911 WESTERN AVE*|**|*PETALUMA*|*CA*|*United States*|*94952*|*911 WESTERN AVE*|**|**|*PETALUMA*|*CA*|*United States*|*94952*|**|**|**|**|**|**|**|*Operate a Landscape Maintenance Business
Radmehr, LLC*|*B20260327015*|*07/16/2026*|*ALASKA*|*Active*|*Good*|*Limited Liability Company - Out of State*|*Foreign*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*200 WEST 34TH AVE., #977*|**|*ANCHORAGE*|*AK*|*United States*|*99503*|*4006 TRADEWINDS DRIVE*|**|**|*OXNARD*|*CA*|*United States*|*93035*|*4006 TRADEWINDS DRIVE*|**|*OXNARD*|*CA*|*United States*|*93035*|**|*
Rae x Sol Outdoors LLC*|*B20260324716*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261454976*|*Jul 15 2026  3:26PM*|*2108 N ST*|*STE N*|*SACRAMENTO*|*CA*|*United States*|*95816*|*2108 N ST*|*STE N*|**|*SACRAMENTO*|*CA*|*United States*|*95816*|*2108 N ST*|*STE N*|*SACRAMENTO*|*CA*|*United States*|*95816*|*All LLC Member(s)*|*Any business purpose.
RAEIM CLEANINGS INC*|*B20260321152*|*07/13/2026*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*2968 W 7TH ST*|*APT740*|*LOS ANGELES*|*CA*|*United States*|*90005*|*2968 W 7TH ST*|*APT740*|**|*LOS ANGELES*|*CA*|*United States*|*90005*|**|**|**|**|**|**|**|*
Rafael Diaz, M.D., Inc.*|*B20260328061*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - Professional*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*ONE SANSOME STREET*|*SUITE 1400 #A1075*|*SAN FRANCISCO*|*CA*|*United States*|*94104*|*ONE SANSOME STREET*|*SUITE 1400 #A1075*|**|*SAN FRANCISCO*|*CA*|*United States*|*94104*|**|**|**|**|**|**|**|*
RAFS CAPITAL, LLC*|*B20260327517*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261461488*|*Jul 16 2026  2:12PM*|*24530 AVENIDA DE MARCIA*|**|*YORBA LINDA*|*CA*|*United States*|*92887*|*PO BOX 18463*|**|**|*ANAHEIM*|*CA*|*United States*|*92817*|**|**|**|**|**|**|*All LLC Member(s)*|*Real Estate Investments
Raices y Suenos LLC*|*B20260327620*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*2209 HANSEN RD*|**|*HAYWARD*|*CA*|*United States*|*94541*|*2209 HANSEN RD*|**|**|*HAYWARD*|*CA*|*United States*|*94541*|**|**|**|**|**|**|*More Than One Manager*|*
Rail Transit Solutions LLC*|*B20260327526*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*27321 ALBION CT*|**|*TEMECULA*|*CA*|*United States*|*92591*|*27321 ALBION CT*|**|**|*TEMECULA*|*CA*|*United States*|*92591*|**|**|**|**|**|**|*All LLC Member(s)*|*
RAIN OR SHINE PARTNERS SPV LLC*|*B20260322881*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*2206 SUPERIOR AVE*|**|*VENICE*|*AK*|*United States*|*90291*|*2206 SUPERIOR AVE*|**|**|*VENICE*|*AK*|*United States*|*90291*|**|**|**|**|**|**|*One Manager*|*
RAINBOW - COLLEGE,  LLC*|*B20260325121*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261460992*|*Jul 16 2026  1:25PM*|*18001 N 79TH AVE  STE 72E*|**|*GLENDALE*|*AZ*|*United States*|*85308*|*18001 N 79TH AVE  STE 72E*|**|**|*GLENDALE*|*AZ*|*United States*|*85308*|**|**|**|**|**|**|*All LLC Member(s)*|*Affordable housing development
RAINBOW - FERNWOOD, LLC*|*B20260324397*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261461261*|*Jul 16 2026  1:48PM*|*18001 N 79TH AVE STE 72E*|**|*GLENDALE*|*AZ*|*United States*|*85308*|*18001 N 79TH AVE STE 72E*|**|**|*GLENDALE*|*AZ*|*United States*|*85308*|**|**|**|**|**|**|*All LLC Member(s)*|*Affordable housing development
RAINBOW - SHERWOOD,  LLC*|*B20260325132*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261461989*|*Jul 16 2026  2:59PM*|*18001 N 79TH AVE STE 72E*|**|*GLENDALE*|*AZ*|*United States*|*85308*|*18001 N 79TH AVE STE 72E*|**|**|*GLENDALE*|*AZ*|*United States*|*85308*|**|**|**|**|**|**|*All LLC Member(s)*|*Affordable housing development
RAINBOW - SIERRA, LLC*|*B20260325801*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261462069*|*Jul 16 2026  3:08PM*|*18001 N 79TH AVE STE 72E*|**|*GLENDALE*|*AZ*|*United States*|*85308*|*18001 N 79TH AVE STE 72E*|**|**|*GLENDALE*|*AZ*|*United States*|*85308*|**|**|**|**|**|**|*All LLC Member(s)*|*Affordable housing development
RAINBOW - WILLOW, LLC*|*B20260325790*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261462173*|*Jul 16 2026  3:18PM*|*18001 N 79TH AVE STE 72E*|**|*GLENDALE*|*AZ*|*United States*|*85308*|*18001 N 79TH AVE STE 72E*|**|**|*GLENDALE*|*AZ*|*United States*|*85308*|**|**|**|**|**|**|*All LLC Member(s)*|*Affordable housing development
Rainbow MJ Advisors II LLC*|*B20260325244*|*07/15/2026*|*DELAWARE*|*Active*|*Good*|*Limited Liability Company - Out of State*|*Foreign*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*60 CUTTER MILL ROAD*|*SUITE 303*|*GREAT NECK*|*NY*|*United States*|*11021*|*60 CUTTER MILL ROAD*|*SUITE 303*|**|*GREAT NECK*|*NY*|*United States*|*11021*|**|**|**|**|**|**|**|*
RainbowCon LLC*|*B20260320876*|*07/13/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*64622 PINEHURST CIRCLE*|**|*DESERT HOT SPRINGS*|*CA*|*United States*|*92240*|*64622 PINEHURST CIRCLE*|**|**|*DESERT HOT SPRINGS*|*CA*|*United States*|*92240*|**|**|**|**|**|**|*All LLC Member(s)*|*
Rainforest Kitchen LLC*|*B20260326641*|*07/16/2026*|*CALIFORNIA*|*Inactive*|*Good*|*Name Reservation*|*Domestic*|**|*Good*|*Good*|*Good*|*2026-07-16 23:25:47.590*|**|*Jan  1 1900 12:00AM*|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|*
Rainforest Kitchen LLC*|*B20260328511*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*15811 SPRIG ST*|**|*CHINO HILLS*|*CA*|*United States*|*91709*|*15811 SPRIG ST*|**|**|*CHINO HILLS*|*CA*|*United States*|*91709*|**|**|**|**|**|**|*One Manager*|*
RAJSHRI RIDERS INC*|*B20260324316*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261453216*|*Jul 15 2026 12:47PM*|*10387 SICILIAN DR*|**|*RANCHO CUCAMONGA*|*CA*|*United States*|*91730*|*10387 SICILIAN DR*|**|**|*RANCHO CUCAMONGA*|*CA*|*United States*|*91730*|*10387 SICILIAN DR*|**|*RANCHO CUCAMONGA*|*CA*|*United States*|*91730*|**|*TRANSPORTATION
Raknid Pest Solutions, Inc.*|*B20260321344*|*07/13/2026*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261452628*|*Jul 15 2026 11:56AM*|*2851 WEST 120TH ST*|*STE E #533*|*HAWTHORNE*|*CA*|*United States*|*90250*|*2851 WEST 120TH ST*|*STE E #533*|**|*HAWTHORNE*|*CA*|*United States*|*90250*|*2851 WEST 120TH ST*|*STE E #533*|*HAWTHORNE*|*CA*|*United States*|*90250*|**|*Structural pest control services
RALDA'S CONSTRUCTION SERVICES INC*|*B20260326295*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*866 PACIFIC AVE*|**|*SAN JOSE*|*CA*|*United States*|*95126*|*866 PACIFIC AVE*|**|**|*SAN JOSE*|*CA*|*United States*|*95126*|**|**|**|**|**|**|**|*
Ralston Investments LLC*|*B20260322090*|*07/13/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*47 NORTH B STREET*|**|*SAN MATEO*|*CA*|*United States*|*94401*|*47 NORTH B STREET*|**|**|*SAN MATEO*|*CA*|*United States*|*94401*|**|**|**|**|**|**|*One Manager*|*
RamBrandingCO LLC*|*B20260324390*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*9310 MARLEMONT CIRCLE*|**|*ELK GROVE*|*CA*|*United States*|*95758*|*9310 MARLEMONT CIRCLE*|**|**|*ELK GROVE*|*CA*|*United States*|*95758*|**|**|**|**|**|**|*One Manager*|*
RAMIREZ & FLORES, LLC*|*B20260324854*|*07/15/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*2505 FOOTHILL BLVD*|*SPC 214*|*SAN BERNARDINO*|*CA*|*United States*|*92410*|*2505 FOOTHILL BLVD*|*SPC 214*|**|*SAN BERNARDINO*|*CA*|*United States*|*92410*|**|**|**|**|**|**|*One Manager*|*
Ramirez Property Services 559 LLC*|*B20260324506*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1300 S. MOONEY BLVD*|*1*|*VISALIA*|*CA*|*United States*|*93277*|*2332 CAPE CANYON AVE*|**|**|*TULARE*|*CA*|*United States*|*93274*|**|**|**|**|**|**|*One Manager*|*
RANCHO AUTO HYBRID & REPAIR LLC*|*B20260319435*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261458216*|*Jul 16 2026  9:14AM*|*29901 SANTA MARGARITA PKWY*|*STE P*|*RANCHO SANTA MARGARITA*|*CA*|*United States*|*92688*|*86 MAGELLAN AISLE*|**|**|*IRVINE*|*CA*|*United States*|*92620*|*86 MAGELLAN AISLE*|**|*IRVINE*|*CA*|*United States*|*92620*|*One Manager*|*AUTO HYBRID AND REPAIR
RANCHO ROSE LLC*|*B20260321270*|*07/13/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261452653*|*Jul 15 2026 11:59AM*|*23905 CLINTON KEITH 114-408*|**|*WILDOMAR*|*CA*|*United States*|*92595*|*23905 CLINTON KEITH 114-408*|**|**|*WILDOMAR*|*CA*|*United States*|*92595*|*23905 CLINTON KEITH 114-408*|**|*WILDOAMR*|*CA*|*United States*|*92595*|*All LLC Member(s)*|*REAL ESTATE
Rancho Ruiz Inc*|*B20260323454*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*3990 DODGE RD*|**|*OXNARD*|*CA*|*United States*|*93033*|*3990 DODGE RD*|**|**|*OXNARD*|*CA*|*United States*|*93033*|**|**|**|**|**|**|**|*
Rancho Venturoso LLC*|*B20260323972*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261452932*|*Jul 15 2026 12:22PM*|*1401 21ST ST*|*STE R*|*SACRAMENTO*|*CA*|*United States*|*95811*|*1401 21ST ST*|*STE R*|**|*SACRAMENTO*|*CA*|*United States*|*95811*|*1401 21ST ST*|*STE R*|*SACRAMENTO*|*CA*|*United States*|*95811*|*More Than One Manager*|*Any business purpose.
RANCHO VET, INC.*|*B20260318627*|*07/15/2026*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - Professional*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261456892*|*Jul 15 2026 10:13PM*|*10050 MACHADO LANE*|**|*SAN JOSE*|*CA*|*United States*|*95127*|*10050 MACHADO LANE*|**|**|*SAN JOSE*|*CA*|*United States*|*95127*|*10050 MACHADO LANE*|**|*SAN JOSE*|*CA*|*United States*|*95127*|**|*VETERINARY MEDICINE
RANE VENTURES LLC*|*B20260324712*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*6280 W LAS POSITAS*|*STE B #1006*|*PLEASANTON*|*CA*|*United States*|*94588*|*5233 SPOLETO CT*|**|**|*PLEASANTON*|*CA*|*United States*|*94588*|**|**|**|**|**|**|*All LLC Member(s)*|*
Ranjan Solar, LLC*|*B20260325322*|*07/15/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1194 CANYON SIDE AVENUE*|**|*SAN RAMON*|*CA*|*United States*|*94582*|*1194 CANYON SIDE AVENUE*|**|**|*SAN RAMON*|*CA*|*United States*|*94582*|**|**|**|**|**|**|*One Manager*|*
Rankin Advisory Group, LLC*|*B20260327175*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*8404 CITY LIGHTS DRIVE*|**|*ALISO VIEJO*|*CA*|*United States*|*92656*|*8404 CITY LIGHTS DRIVE*|**|**|*ALISO VIEJO*|*CA*|*United States*|*92656*|**|**|**|**|**|**|*All LLC Member(s)*|*
RANO MINI MART INC*|*B20260320928*|*07/13/2026*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*2026 W 3RD ST*|**|*LOS ANGELES*|*CA*|*United States*|*90057*|*2026 W 3RD ST*|**|**|*LOS ANGELES*|*CA*|*United States*|*90057*|**|**|**|**|**|**|**|*
Rapid Respond security guard*|*B20260325806*|*07/15/2026*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*4050 N BENEDICT AVENUE*|*102*|*FRESNO*|*CA*|*United States*|*93722*|*4050 N BENEDICT AVENUE*|*102*|**|*FRESNO*|*CA*|*United States*|*93722*|**|**|**|**|**|**|**|*
Rapid Vehicle Ventures Holdings LLC*|*B20260321715*|*07/13/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1210 CORRAL CREEK AVE*|*APT 1*|*PASO ROBLES*|*CA*|*United States*|*93446*|*1210 CORRAL CREEK AVE*|*APT 1*|**|*PASO ROBLES*|*CA*|*United States*|*93446*|**|**|**|**|**|**|*One Manager*|*
Raptor Logistics and Transportation LLC*|*B20260323200*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*820 LEXINGTON STREET*|**|*HEMET*|*CA*|*United States*|*92545*|*820 LEXINGTON STREET*|**|**|*HEMET*|*CA*|*United States*|*92545*|**|**|**|**|**|**|*One Manager*|*
Rashid construction LLC*|*B20260326374*|*07/15/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*2844 CINCINNATI ST*|**|*LOS ANGELES*|*CA*|*United States*|*90033*|*2844 CINCINNATI*|**|**|*LOS ANGELES*|*CA*|*United States*|*90033*|**|**|**|**|**|**|*One Manager*|*
Raste Mobility*|*B20260311511*|*07/15/2026*|*DELAWARE*|*Active*|*Good*|*Stock Corporation - Out of State - Stock*|*Foreign*|*Raste, Inc.*|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*36799 BURDICK ST.*|**|*NEWARK*|*CA*|*United States*|*94560*|*36799 BURDICK ST.*|**|**|*NEWARK*|*CA*|*United States*|*94560*|**|**|**|**|**|**|**|*
Rathole Records, LLC*|*B20260328826*|*07/17/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261469472*|*Jul 17 2026  5:02PM*|*2121 AVENUE OF THE STARS STE. 1300*|**|*LOS ANGELES*|*CA*|*United States*|*90067*|*2121 AVENUE OF THE STARS STE. 1300*|**|**|*LOS ANGELES*|*CA*|*United States*|*90067*|**|**|**|**|**|**|*One Manager*|*Song Writing and Music Producing services
Ratusi Auto Solutions LLC*|*B20260321953*|*07/13/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*611 ARDEN AVENUE*|**|*GLENDALE*|*CA*|*United States*|*91202*|*611 ARDEN AVENUE*|**|**|*GLENDALE*|*CA*|*United States*|*91202*|**|**|**|**|**|**|*One Manager*|*
RAVE HR LLC*|*B20260322067*|*07/13/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261456556*|*Jul 15 2026  7:51PM*|*1845 N NOGALES WAY*|**|*PALM SPRINGS*|*CA*|*United States*|*92262*|*1845 N NOGALES WAY*|**|**|*PALM SPRINGS*|*CA*|*United States*|*92262*|*1845 N NOGALES WAY*|**|*PALM SPRINGS*|*CA*|*United States*|*92262*|*One Manager*|*HR & Hospitality Consulting, HR Services, and Training
Ravedio LLC*|*B20260320712*|*07/13/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261445034*|*Jul 14 2026 12:32PM*|*1401 21ST ST*|*STE R*|*SACRAMENTO*|*CA*|*United States*|*95811*|*1401 21ST ST*|*STE R*|**|*SACRAMENTO*|*CA*|*United States*|*95811*|*1401 21ST ST*|*STE R*|*SACRAMENTO*|*CA*|*United States*|*95811*|*All LLC Member(s)*|*Any lawful purpose
Raw Remedy LLC*|*B20260326752*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261462268*|*Jul 16 2026  3:26PM*|*1111 6TH AVE STE 550 #623737*|**|*SAN DIEGO*|*CA*|*United States*|*92101*|*1111 6TH AVE STE 550 #623737*|**|**|*SAN DIEGO*|*CA*|*United States*|*92101*|*1111 6TH AVE STE 550 #623737*|**|*SAN DIEGO*|*CA*|*United States*|*92101*|*All LLC Member(s)*|*Skin & Hair products that are eco friendly & safe
Rawmana Fitness LLC*|*B20260323037*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Name Reservation*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|*
RayL Truck Service*|*B20260324035*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261469752*|*Jul 17 2026  6:22PM*|*606 TIMBERLINE DR*|**|*AZUSA*|*CA*|*United States*|*91702*|*606 TIMBERLINE DR*|**|**|*AZUSA*|*CA*|*United States*|*91702*|*606 TIMBERLINE DR*|**|*AZUSA*|*CA*|*United States*|*91702*|**|*Diesel truck repair and maintenance
RAYLINE ADVISORY LLC*|*B20260329154*|*07/17/2026*|*CALIFORNIA*|*Active*|*Good*|*Name Reservation*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|*
Rayline Electrical Solutions LLC*|*B20260322115*|*07/13/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261450724*|*Jul 15 2026  9:26AM*|*28016 PARKRIDGE LN*|**|*CANYON COUNTRY*|*CA*|*United States*|*91387*|*28016 PARKRIDGE LN*|**|**|*CANYON COUNTRY*|*CA*|*United States*|*91387*|**|**|**|**|**|**|*One Manager*|*Electrical Troubleshooting
RAYON FREIGHT INC*|*B20260326380*|*07/15/2026*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*14827 STASSEN ST*|**|*NORTH HILLS*|*CA*|*United States*|*91343*|*14827 STASSEN ST*|**|**|*NORTH HILLS*|*CA*|*United States*|*91343*|**|**|**|**|**|**|**|*
Razzle Dazzle Customs LLC*|*B20260328439*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261468476*|*Jul 17 2026  2:59PM*|*413 JERRY COURT*|**|*MARINA*|*CA*|*United States*|*93933*|*413 JERRY COURT*|**|**|*MARINA*|*CA*|*United States*|*93933*|*413 JERRY COURT*|**|*MARINA*|*CA*|*United States*|*93933*|*More Than One Manager*|*Custom crafts and sales
RBS Billing Services LLC*|*B20260324138*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261453425*|*Jul 15 2026  1:08PM*|*121 1ST ST APT A*|**|*WOODLAND*|*CA*|*United States*|*95695*|*121 1ST ST APT A*|**|**|*WOODLAND*|*CA*|*United States*|*95695*|*121 1ST ST APT A*|**|*WOODLAND*|*CA*|*United States*|*95695*|*All LLC Member(s)*|*Medical coding and billing services
RC Cortes LLC*|*B20260322782*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261449075*|*Jul 14 2026  9:55PM*|*2108 N ST*|*STE N*|*SACRAMENTO*|*CA*|*United States*|*95816*|*2108 N ST*|*STE N*|**|*SACRAMENTO*|*CA*|*United States*|*95816*|*2108 N ST*|*STE N*|*SACRAMENTO*|*CA*|*United States*|*95816*|*All LLC Member(s)*|*tortilla distribution
RC DEALS LLC*|*B20260321248*|*07/13/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*3400 COTTAGE WAY, STE G2 #36192*|**|*SACRAMENTO*|*CA*|*United States*|*95825*|*3400 COTTAGE WAY, STE G2 #36192*|**|**|*SACRAMENTO*|*CA*|*United States*|*95825*|**|**|**|**|**|**|*More Than One Manager*|*
RC Desert Dawgs LLC*|*B20260325119*|*07/15/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261464565*|*Jul 17 2026  7:47AM*|*3754 W GRAAF AVE*|**|*RIDGECREST*|*CA*|*United States*|*93555*|*3754 W GRAAF AVE*|**|**|*RIDGECREST*|*CA*|*United States*|*93555*|*3754 W GRAAF AVE*|**|*RIDGECREST*|*CA*|*United States*|*93555*|*More Than One Manager*|*Sports
RC Groundbreakers LLC*|*B20260326219*|*07/15/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261461485*|*Jul 16 2026  2:11PM*|*2108 N ST*|*STE N*|*SACRAMENTO*|*CA*|*United States*|*95816*|*2108 N ST*|*STE N*|**|*SACRAMENTO*|*CA*|*United States*|*95816*|*2108 N ST*|*STE N*|*SACRAMENTO*|*CA*|*United States*|*95816*|*More Than One Manager*|*RC Groundbreakers is a mobile entertainment business.
